doc_id	tok_index	kind	norm	doubt_positions	source_page
PHWc40	1	WORD	NA	0	PHWc40
PHWg45	0	WORD	E-TA2-QE	0,1,2	PHWg45
PHZb5	0	WORD	WA-PI-TI-NA-RA2	1	PHZb5
PK1	5	WORD	KA-QA	1	PK1
PK1	26	WORD	O-TE-JA	1,2	PK1
PK1	34	WORD	NI-MI	1	PK1
PK1	39	WORD	TU-SU	0	PK1
PK1	47	WORD	MA-TE-TI	0,1	PK1
PK3	4	NUM	20	ALL	PK3.a
PK3	6	NUM	31	ALL	PK3.a
PKZa11	0	WORD	A-TA-I-*301-WA-E	0	PKZa11
PKZa11	8	WORD	PI-TE-RI	2	PKZa11
PKZa11	10	WORD	A-KO-A-NE	2,3	PKZa11
PKZa11	17	WORD	I-PI-NA-MI-NA	2,3,4	PKZa11
PKZa14	0	WORD	TU-ME-I	1	PKZa14
PKZa15	0	WORD	JA-DI-KI-TE-TE-DU-PU2-RE	5	PKZa15
PKZa8	2	WORD	PA3-E	1	PKZa8
PKZa8	4	WORD	JA-DI-KI-TE-TE-*307-PU2-RE	1,5,6	PKZa8
PKZa8	6	WORD	TU-ME-I	1,2	PKZa8
PKZa8	8	WORD	JA-SA-U-NA-KA-NA-SI	6	PKZa8
PKZb19	0	WORD	SE-SI-TA	2	PKZb19
PKZb25	0	WORD	MI-DA-RA	2	PKZb25
PKZc13	0	WORD	NU-RI-JA	1	PKZc13
PLZf1	2	WORD	WI-TE-JA-MU	0,3	PLZf1
PLZf1	6	WORD	JA-SA-SA-RA-ME	4	PLZf1
PLZf1	10	WORD	NI-NU-NI	2	PLZf1
PYR2	0	WORD	*304	0	PYR2
PYRZb5	0	WORD	TE-JA	0	PYRZb5
SEZf1	0	WORD	DA-KU	0,1	SEZf1
SYZa1	0	WORD	A-TA-I-*301-WA-JA	0	SYZa1
SYZa10	0	WORD	QA-SA-RA-KU	3	SYZa10
SYZa11	1	WORD	RO-QA	0,1	SYZa11
SYZa6	0	WORD	DA-SE-RA-TE	1	SYZa6
SYZa8	0	WORD	A-TA-I-*301-WA-JA	4	SYZa8
SYZa9	0	WORD	JA-PA-RA-JA-SE	2,4	SYZa9
THEZb4	0	WORD	A-RE	1	THEZb4
TIZb1	0	WORD	*301-SI	0,1	TIZb1
TLZa1	5	WORD	JA-SA-SA-RA-ME	4	TLZa1
TLZa1	10	WORD	SI-RU-TE	1	TLZa1
TROZg1	0	WORD	PI-MI-TA-TI-RA2	0,1,2,3,4	TROZg1
TROZg2	0	WORD	DU-MI-TA-TI-RA2	0,1,2,3,4	TROZg2
TRYZb1	0	WORD	NE-MI	0,1	TRYZb1
TRYZb1	1	WORD	MI-NE	0,1	TRYZb1
TY2	1	NUM	500	ALL	TY2
TY2	4	NUM	290	ALL	TY2
TY2	34	NUM	250	ALL	TY2
TY3a	0	WORD	ZA-*321	0	TY3.a
TY3a	8	NUM	5	ALL	TY3.a
TY3a	15	WORD	OLE+U	0	TY3.a
TY3a	20	WORD	A-DU	1	TY3.a
TY3a	27	NUM	11/5	ALL	TY3.a
TY3a	40	WORD	A-DA	0	TY3.a
TY3a	44	WORD	OLE+MI	0	TY3.a
TY3a	45	NUM	2	ALL	TY3.a
TY3a	56	NUM	5	ALL	TY3.a
TY3b	10	WORD	OLE+MI	0	TY3.b
TY3b	13	WORD	OLE+NE	0	TY3.b
TY3b	14	NUM	2	ALL	TY3.b
TYWc5	0	WORD	KU	0	TYWc5
TYZb4	0	WORD	A-*301-KI-TA-A	1	TYZb4
TYZg1	0	WORD	MA-RU-A	0	TYZg1
ZA10a	22	NUM	2	ALL	ZA10.a
ZA10b	32	NUM	1/2	ALL	ZA10.b
ZA10b	38	NUM	1	ALL	ZA10.b
ZA11a	8	WORD	VIN	0	ZA11.a
ZA11a	9	NUM	1/2	ALL	ZA11.a
ZA11a	12	NUM	9/4	ALL	ZA11.a
ZA11a	14	WORD	JU	0	ZA11.a
ZA11a	25	WORD	GRA+PA	0	ZA11.a
ZA11b	7	NUM	1	ALL	ZA11.b
ZA11b	10	NUM	1	ALL	ZA11.b
ZA11b	17	WORD	KU-PA	1	ZA11.b
ZA12a	3	NUM	64	ALL	ZA12.a
ZA12a	6	NUM	13	ALL	ZA12.a
ZA12b	2	WORD	TU	0	ZA12.b
ZA12b	3	NUM	6	ALL	ZA12.b
ZA12b	5	WORD	PA	0	ZA12.b
ZA14	12	WORD	KU-PI	1	ZA14
ZA14	16	NUM	45	ALL	ZA14
ZA15a	17	WORD	SI-PI-KI	1	ZA15.a
ZA15a	20	WORD	JA-SA-MU	2	ZA15.a
ZA16	2	WORD	SI	0	ZA16
ZA16	9	WORD	SU	0	ZA16
ZA18a	9	NUM	2	ALL	ZA18.a
ZA1a	3	WORD	KI-RE-ZA	0,1,2	ZA1.a
ZA1a	5	WORD	NI	0	ZA1.a
ZA1a	8	WORD	ZA	0	ZA1.a
ZA1b	0	WORD	E-MI	1	ZA1.b
ZA1b	2	WORD	RO	0	ZA1.b
ZA1b	3	WORD	GRA	0	ZA1.b
ZA1b	4	NUM	47	ALL	ZA1.b
ZA20	2	WORD	DU-RE-ZA-SE	1	ZA20
ZA21a	9	WORD	TE	0	ZA21.a
ZA21a	12	WORD	TA-KE	1	ZA21.a
ZA21a	19	WORD	TA-MA-PI	2	ZA21.a
ZA21a	21	NUM	3	ALL	ZA21.a
ZA21a	23	WORD	A	0	ZA21.a
ZA21a	25	WORD	*118-MI	0	ZA21.a
ZA21b	4	NUM	2	ALL	ZA21.b
ZA21b	6	WORD	SA-RI	0,1	ZA21.b
ZA21b	12	WORD	ME	0	ZA21.b
ZA22	5	NUM	1	ALL	ZA22
ZA22	7	NUM	1	ALL	ZA22
ZA22	13	NUM	1	ALL	ZA22
ZA22	17	WORD	DU-JU	0,1	ZA22
ZA24a	1	WORD	GRA	0	ZA24.a
ZA26a	0	WORD	SI-TE	0	ZA26.a
ZA26a	9	WORD	KI	0	ZA26.a
ZA27	7	WORD	O-MI	0	ZA27
ZA28	3	NUM	1	ALL	ZA28
ZA29	2	WORD	MA	0	ZA29.a
ZA29	3	NUM	100	ALL	ZA29.a
ZA29	5	WORD	TE	0	ZA29.a
ZA31	2	WORD	DU	0	ZA31
ZA31	3	NUM	2	ALL	ZA31
ZA32	2	WORD	JA	0	ZA32
ZA33	2	NUM	21	ALL	ZA33
ZA4a	4	WORD	E	0	ZA4.a
ZA4a	9	NUM	5	ALL	ZA4.a
ZA4a	17	WORD	JA-PA	1	ZA4.a
ZA4a	18	NUM	1	ALL	ZA4.a
ZA4a	21	WORD	TU-ME-SE	1	ZA4.a
ZA4b	2	WORD	VIN	0	ZA4.b
ZA5a	7	WORD	O-TA-NI-ZA-SE	4	ZA5.a
ZA5b	4	NUM	3/2	ALL	ZA5.b
ZA5b	7	NUM	3	ALL	ZA5.b
ZA6a	6	NUM	180	ALL	ZA6.a
ZA6a	8	WORD	I-SE	1	ZA6.a
ZA6a	18	NUM	2	ALL	ZA6.a
ZA6a	23	NUM	20	ALL	ZA6.a
ZA6a	32	WORD	*304	0	ZA6.a
ZA7a	0	WORD	U-JU	0	ZA7.a
ZA7b	2	NUM	0	ALL	ZA7.b
ZA9	7	NUM	5	ALL	ZA9
ZA9	11	WORD	RO-SI-RA	0	ZA9
ZA9	13	NUM	4	ALL	ZA9
ZA9	19	NUM	2	ALL	ZA9
ZAZb3	7	WORD	A-TA-I-*301-DE-KA	1	ZAZb3
ZAZg35	0	WORD	ME-MI-JA-RU	0	ZAZg35
ZAZg35	2	WORD	SE-WA-AU-DE	0	ZAZg35
